阿米巴痢疾	阿米巴痢疾<br><br>（一）<br><br><br>　　【辨证】肠胃湿热，兼血分热毒，湿热毒邪结聚。<br><br>　　【治法】清热祛湿，解毒止痢。<br><br>　　【方名】白头翁汤。<br><br>　　【组成】白头翁30克，黄连9克，黄柏9克，秦皮9克。<br><br>　　【用法】水煎服，每日1剂，日服2次。<br><br>　　【出处】李文亮方。<br><br>（二）<br><br><br>　　【辨证】肺胃蕴热，下注大肠。<br><br>　　【治法】清热解毒，荡涤肠胃。<br><br>　　【方名】银菊白虎汤。<br><br>　　【组成】金银花15克，野菊花15克，生石膏30克（先煎），知母15克，枯芩15克，锦纹5克（后下）生甘草5克。<br><br>　　【用法】水煎服，每日1剂，日服2次。<br><br>　　【出处】程宜福方。<br>阿米巴痢疾<br><br>（一）<br><br><br>　　【辨证】肠胃湿热，兼血分热毒，湿热毒邪结聚。<br><br>　　【治法】清热祛湿，解毒止痢。<br><br>　　【方名】白头翁汤。<br><br>　　【组成】白头翁30克，黄连9克，黄柏9克，秦皮9克。<br><br>　　【用法】水煎服，每日1剂，日服2次。<br><br>　　【出处】李文亮方。<br><br>（二）<br><br><br>　　【辨证】肺胃蕴热，下注大肠。<br><br>　　【治法】清热解毒，荡涤肠胃。<br><br>　　【方名】银菊白虎汤。<br><br>　　【组成】金银花15克，野菊花15克，生石膏30克（先煎），知母15克，枯芩15克，锦纹5克（后下）生甘草5克。<br><br>　　【用法】水煎服，每日1剂，日服2次。<br><br>　　【出处】程宜福方。<br>
拔牙后出血	拔牙后出血<br><br>　　【辨证】虚寒牙衄。<br><br>　　【治法】温阳益气活血止血。<br><br>　　【方名】柏叶汤加减。<br><br>　　【组成】柏叶10克，干姜3克，艾叶10克，党参12克，白术10克，炙草5克，阿胶（另煎）10克，田三七末（冲服）3克。<br><br>　　【用法】水煎服，每日1剂，日服2次。<br><br>　　【出处】谭敬书方。
白带过多	白带过多<br><br>（一）<br><br><br>　　【辨证】脾肾虚损，湿浊下流。<br><br>　　【治法】健脾固肾，收敛止带。<br><br>　　【方名】岗稔止带汤。<br><br>　　【组成】菟丝子25克，何首乌20克，白术15克，海螵蛸15克，炙甘草10克，白芍10克，白芷10克，岗稔根30克。<br><br>　　【用法】水煎服，每日一剂，日服3次。<br><br>　　【出处】罗元恺方。<br><br>（二）<br><br><br>　　【辨证】湿热蕴结下焦。<br><br>　　【治法】清热解毒利湿。<br><br>　　【方名】银甲汤。<br><br>　　【组成】金银花24克，连翘15克，升麻15克，红藤24克，蒲公英24克，生鳖甲24克，紫花地丁30克，生蒲黄12克，椿根皮12克，大青叶12克，琥珀末12克，桔梗12克，茵陈13克。<br><br>　　【用法】水煎服，每日1剂，日服3次。<br><br>　　【出处】王渭川方。<br><br>（三）<br><br><br>　　【辨证】湿蕴化热，阻滞气机，湿热下注。<br><br>　　【治法】清热、利湿、杀虫。<br><br>　　【方名】止带汤。<br><br>　　【组成】黄柏10克，苍术10克，樗根皮10克，茯苓15克，山药12克，泽泻12克，使君子12克，乌梅6克，胡黄连6克，枣猬皮6克，川椒5克。<br><br>　　【用法】水煎服，每日1剂，日服2次。<br><br>　　【出处】董建华方。<br><br>（四）<br><br><br>　　【辨证】肾气虚弱，固摄无权。<br><br>　　【治法】补肾固气养血。<br><br>　　【方名】白果汤。<br><br>　　【组成】砂仁5克，五味子5克，五倍子5克，益智仁5克，杜仲10克，熟地10克，续断10克，覆盆子10克，远志10克，党参10克，桑螵蛸10克，阿胶10克，山萸肉12克，白果12枚，炙甘草3克。<br><br>　　【用法】水煎服，每日1剂，日服3次。<br><br>　　【出处】施今墨方。<br><br>（五）<br><br><br>　　【辨证】痰湿下注。<br><br>　　【治法】疏风祛湿。<br><br>　　【方名】升阳胜湿汤。<br><br>　　【组成】柴胡3克，羌活6克，苍术6克，黄芪6克，防风4.5克，升麻4.5克，独活4.5克，当归9克，藁本3克，甘草3克。<br><br>　　【用法】水煎服，每日1剂，日服2次。<br><br>　　【出处】《胎产要决》卷上。<br><br>（六）<br><br><br>　　【辨证】肾气虚弱。<br><br>　　【治法】补养肝肾，利湿固涩。<br><br>　　【方名】首乌枸杞汤。<br><br>　　【组成】首乌12克，枸杞子12克，菟丝子12克，桑螵蛸12克，赤石脂12克，狗脊12克，熟地24克，藿香6克，砂仁6克。<br><br>　　【用法】水煎服。<br><br>　　【出处】《简明中医妇科学》。
白癜风	白癜风<br><br>（一）<br><br><br>　　【辨证】风邪侵犯皮肤，袭入毛孔，致使气血瘀滞，毛窍闭塞，血不荣肤。<br><br>　　【治法】祛风活血，除湿清热，补益肝肾。<br><br>　　【方名】如意黑白散。<br><br>　　【组成】旱莲草90克，白芷60克，何首乌60克，沙蒺藜60克，刺蒺藜60克，紫草45克，重楼30克，紫丹参30克，苦参30克，苍术24克。<br><br>　　【用法】上药共为细末，收贮勿泄气，每日服3次，每次6克，开水送服。<br><br>　　【出处】来春茂方。<br><br>（二）<br><br><br>　　【辨证】风湿侵入毛孔，以致气血瘀滞，日久气阴两亏，血不荣肤。<br><br>　　【治法】调补阴阳。<br><br>　　【方名】双调祛风汤。<br><br>　　【组成】当归15克，川芎10克，黄芪20克，白术12克，茯苓12克，女贞子15克，旱莲草20克，黑芝麻20克，何首乌15克，黑故纸10克，甘草3克。<br><br>　　【用法】水煎服，每日1剂，日服3次。<br><br>　　【出处】来春茂方。<br><br>（三）<br><br><br>　　【辨证】气血凝滞，经络不通，风邪相搏于皮肤。<br><br>　　【治法】补血活血，通络祛风。<br><br>　　【方名】玄机汤。<br><br>　　【组成】紫草25克，草河车50克，丹参50克，川芎15克，浮萍50克，刘寄奴25克，琥珀10克，地龙10克，丹皮25克，土鳖虫10克，威灵仙25克。<br><br>　　【用法】水煎服，每日1剂，日服2次。小儿可酌减，孕妇忌服。1个月为1疗程。<br><br>　　【出处】傅魁选方。
白发	白发<br><br>（一）<br><br><br>　　【辨证】气血两亏不能上荣，发失所养。<br><br>　　【治法】益气养血，补肾益精。<br><br>　　【方名】七宝美髯丹加减。<br><br>　　【组成】生地15克，何首乌15克，苣胜子15克，菟丝子15克，黑芝麻12克，桑椹子12克，茯苓12克，山茱萸12克，龟板胶10克（烊化），甘草6克。<br><br>　　【用法】水煎服，每日1剂，日服3次。<br><br>　　【出处】李元文方。<br><br>（二）<br><br><br>　　【辨证】血热内蕴，水不涵木，肝旺血燥，血热偏盛，毛发失养。<br><br>　　【治法】清热凉血，滋肾乌发。<br><br>　　【方名】草还丹加减。<br><br>　　【组成】菟丝子15克，枸杞子15克，桑椹子15克，生地12克，赤芍12克，桑叶12克，丹皮10克，杭菊花10克，白芷6克。<br><br>　　【用法】水煎服，每日1剂，日服2次。<br><br>　　【出处】李元文方。
白内障	白内障<br><br>（一）<br><br><br>　　【辨证】肝脾两虚。<br><br>　　【治法】补肝血，健脾益气。<br><br>　　【方名】肝脾两补汤。<br><br>　　【组成】生地24克，熟地24克，白芍12克，茯苓12克，乌贼骨12克，杞子10克，菊花10克，防风10克，柏子仁10克，细辛2克，柴胡6克，甘草6克，山药15克。<br><br>　　【用法】水煎服，每日1剂，日服2次。<br><br>　　【出处】《良方大全》<br><br>（二）<br><br><br>　　【辨证】肾气不足。<br><br>　　【治法】补肾养肝，明目。<br><br>　　【方名】菟丝子补肾汤。<br><br>　　【组成】菟丝子9克，石斛9克，石决明9克，炒杭菊9克，当归9克，谷精草9克，炒茺蔚子9克，潼蒺藜9克，陈皮6克，炒谷芽5克。<br><br>　　【用法】水煎服，每日1剂，日服3次。<br><br>　　【出处】《良方大全》。
白塞氏综合症	白塞氏综合症<br><br>（一）<br><br><br>　　【辨证】脾肾阴虚，虚火上炎。<br><br>　　【治法】滋阴降火。<br><br>　　【方名】滋阴降火方。<br><br>　　【组成】南沙参15克，北沙参15元，元参15克，丹皮9克，石斛12克，山萸肉9克，枸杞子9克，锦灯笼9克，花粉15克，黄芪9克，金莲花12克，马蔺子9克。<br><br>　　【用法】水煎服，每日1剂，日服2次。<br><br>　　【出处】赵炳南方。<br><br>（二）<br><br><br>　　【辨证】湿热生虫，上下相蚀，湿热阻络，气滞血瘀。<br><br>　　【治法】苦辛通降，清化湿热。<br><br>　　【方名】甘草泻心汤加减方。<br><br>　　【组成】生甘草9克，川连4.5克，黄芩9克，干姜4.5克，大枣5枚，制半夏6克。<br><br>　　【用法】水煎服，每日1剂，日服2次。<br><br>　　【出处】朱仁康方。
白细胞减少症	白细胞减少症<br><br>（一）<br><br><br>　　【辨证】精髓不足，气血亏虚。<br><br>　　【治法】补气养血，填精补髓。<br><br>　　【方名】鸡血藤汤。<br><br>　　【组成】鸡血藤30克，大熟地24克，杭芍18克，当归12克，枸杞子24克，山萸肉24克，炙黄芪30克，锁阳9克，马戟天12克，补骨脂12克。<br><br>　　【用法】水煎服，每日1剂，日服2次。<br><br>　　【出处】刘秉麟方。<br><br>（二）<br><br><br>　　【辨证】心脾两虚，肾气不足。<br><br>　　【治法】健脾益气，养心和血，补肾。<br><br>　　【方名】加味补益养血汤。<br><br>　　【组成】生黄芪15克，党参15克，山药31克，白术15克，茯苓12克，砂仁12克，远志12克，柏子仁15克，炒酸枣仁25克，狗脊15克，枸杞子12克，菟丝子25克，当归15克，丹参18克。<br><br>　　【用法】水煎服，每日1剂，日服2次。<br><br>　　【出处】刘惠民方。<br>
斑秃	斑秃<br><br>（一）<br><br><br>　　【辨证】血虚失荣，瘀血阻滞。<br><br>　　【治法】养血活血，祛瘀通络。<br><br>　　【方名】生发饮。<br><br>　　【组成】熟地12克，首乌15克，当归10克，白芍12克，川芎9克，桃仁10克，红花10克，赤芍9克，丹皮9克，香附6克，柴胡6克，白芷6克，葱白3寸。<br><br>　　【用法】水煎服，每日1剂，日服3次。<br><br>　　【出处】常建林方。<br><br>（二）<br><br><br>　　【辨证】肾虚精血不足而兼血热者。<br><br>　　【治法】补肾养血，兼以凉血。<br><br>　　【方名】一麻二至丸。<br><br>　　【组成】黑芝麻30克，女贞子10克，墨旱莲草10克，制首乌10克，侧柏叶10克，枸杞子10克，生熟地各15克，黄精20克。<br><br>　　【用法】水煎服，每日1剂，日服2次。<br><br>　　【出处】董建华方。<br><br>（三）<br><br><br>　　【辨证】心肾不足，血不荣发。<br><br>　　【治法】补肾荣发，养血宁心。<br><br>　　【方名】四物汤二至丸加减方。<br><br>　　【组成】生地15克，当归9克，灵磁石30克，砂仁6克，熟地15克，川芎6克，墨旱莲15克，桑椹子15克，白芍12克，制首乌15克，朱茯神15克，木瓜9克，黄精15克。<br><br>　　【用法】水煎服，每日1剂，日服2次。<br><br>　　【出处】董国权方。<br><br>（四）<br><br><br>　　【辨证】肝血不足，血余失养。<br><br>　　【治法】补养肝血，佐以益肾。<br><br>　　【方名】加减美髯汤。<br><br>　　【组成】何首乌30克，当归30克，杭白芍12克，鱼鳔胶9克（烊化），菟丝子10克，补骨脂9克，枸杞子10克，怀牛膝10克，代赭石6克，淡竹叶9克，连翘心4.5克，炙甘草6克。<br><br>　　【用法】水煎服，每日1剂，日服3次。<br><br>　　【出处】宛新铮方。<br><br>（五）<br><br><br>　　【辨证】肝肾亏损，气血两虚。<br><br>　　【治法】滋补肝肾，益气养血。<br><br>　　【方名】芪乌生发汤。<br><br>　　【组成】黄芪15克，茯苓15克，生地15克，首乌15克，太子参12克，桑椹子12克，熟地9克，黄精9克，黑豆30克，当归<br><br>　　克。<br><br>　　【用法】水煎服，每日1剂，日服2交<br><br>　　【出处】邓铁涛方。<br><br>（六）<br><br><br>　　【辨证】肝肾亏虚，血虚失养。<br><br>　　【治法】滋阴补血，乌须生发。<br><br>　　【方名】苣胜子方。<br><br>　　【组成】苣胜子9克，黑芝麻9克，桑椹子9克，川芎9克，酒当归9克，甘草9克，菟丝子12克，何首乌12克，白芍12克，炒白术15克，木瓜6克。<br><br>　　【用法】水煎服，每日1剂，日服2次。<br><br>　　【出处】赵炳南方。<br><br>（七）<br><br><br>　　【辨证】肝肾不足，血虚脱发。<br><br>　　【治法】滋补肝肾，养血生发。<br><br>　　【方名】加味养血生发汤。<br><br>　　【组成】生地15克，熟地15克，鸡血藤15克，首乌藤15克，生黄芪30克，川芎9克，白芍15克，明天麻6克，冬虫夏草6克，旱莲草9克，桑椹15克，木瓜6克。<br><br>　　【用法】水煎服，每日1剂，日服2次。<br><br>　　【出处】赵炳南方。<br><br>（八）<br><br><br>　　【辨证】热邪伤肺，皮毛憔悴。<br><br>　　【治法】清泄肺热，凉血解毒。<br><br>　　【方名】柏叶浸剂（外用）。<br><br>　　【组成】鲜侧柏叶32克，75%酒精100毫升。<br><br>　　【用法】鲜侧柏叶放入精酒中浸泡，7天后方可使用。用棉球蘸药液少许，涂搽患处。<br><br>　　【出处】丰明德方。
膀胱癌	膀胱癌<br><br>（一）<br><br><br>　　【辨证】下焦瘀热。<br><br>　　【治法】凉血止血，利水通淋。<br><br>　　【方名】小蓟饮子。<br><br>　　【组成】生地黄30克（洗），小蓟15克，滑石15克，木通9克，蒲黄9克（炒），藕节9克，淡竹叶9克，当归6克（酒浸），山栀子9克，炙甘草6克。<br><br>　　【用法】水煎服，每日1剂，日服2次。<br><br>　　【出处】《济生方》。<br><br>（二）<br><br><br>　　【辨证】阴虚热盛。<br><br>　　【治法】滋阴降火。<br><br>　　【方名】知柏地黄汤。<br><br>　　【组成】熟地黄24克，山茱萸12克，干山药12克，泽泻9克，茯苓9克（去皮），丹皮9克，知母24克，黄柏24克。<br><br>　　【用法】水煎服，每日1剂，日服2次。<br><br>　　【出处】《医宗金鉴》。
